Date,Commodity,Modal Price,Quantity
2023-01-01,Wheat,2450,150
2023-01-02,Wheat,2470,145
2023-01-03,Wheat,2480,160
2023-01-04,Rice,4200,200
2023-01-05,Rice,4180,210
2023-01-06,Corn,1850,120
2023-01-07,Corn,1870,125
2023-01-08,Wheat,2500,155
2023-01-09,Rice,4220,205
2023-01-10,Corn,1900,130
2023-02-01,Wheat,2520,148
2023-02-02,Wheat,2540,152
2023-02-03,Rice,4250,212
2023-02-04,Rice,4230,208
2023-02-05,Corn,1920,128
2023-02-06,Corn,1940,132
2023-02-07,Wheat,2550,150
2023-02-08,Rice,4260,215
2023-02-09,Corn,1950,135
2023-02-10,Wheat,2570,154
2023-03-01,Wheat,2600,158
2023-03-02,Wheat,2580,156
2023-03-03,Rice,4300,220
2023-03-04,Rice,4280,218
2023-03-05,Corn,1980,140
2023-03-06,Corn,2000,142
2023-03-07,Wheat,2610,160
2023-03-08,Rice,4320,222
2023-03-09,Corn,2020,145
2023-03-10,Wheat,2630,162
2023-04-01,Wheat,2650,165
2023-04-02,Wheat,2670,168
2023-04-03,Rice,4350,225
2023-04-04,Rice,4330,223
2023-04-05,Corn,2050,148
2023-04-06,Corn,2070,150
2023-04-07,Wheat,2680,170
2023-04-08,Rice,4370,228
2023-04-09,Corn,2080,152
2023-04-10,Wheat,2700,172
2023-05-01,Wheat,2720,175
2023-05-02,Wheat,2740,178
2023-05-03,Rice,4400,230
2023-05-04,Rice,4380,228
2023-05-05,Corn,2100,155
2023-05-06,Corn,2120,158
2023-05-07,Wheat,2750,180
2023-05-08,Rice,4420,232
2023-05-09,Corn,2130,160
2023-05-10,Wheat,2770,182
2023-06-01,Wheat,2400,140
2023-06-02,Wheat,2420,142
2023-06-03,Rice,4100,210
2023-06-04,Rice,4080,208
2023-06-05,Corn,1800,110
2023-06-06,Corn,1820,112
2023-06-07,Wheat,2430,144
2023-06-08,Rice,4120,212
2023-06-09,Corn,1840,114
2023-06-10,Wheat,2450,146
2023-07-01,Wheat,2350,135
2023-07-02,Wheat,2370,137
2023-07-03,Rice,3950,190
2023-07-04,Rice,3930,188
2023-07-05,Corn,1650,100
2023-07-06,Corn,1670,102
2023-07-07,Wheat,2380,139
2023-07-08,Rice,3970,192
2023-07-09,Corn,1690,104
2023-07-10,Wheat,2400,141
2023-08-01,Wheat,2500,150
2023-08-02,Wheat,2520,152
2023-08-03,Rice,4200,205
2023-08-04,Rice,4180,203
2023-08-05,Corn,1850,120
2023-08-06,Corn,1870,122
2023-08-07,Wheat,2530,154
2023-08-08,Rice,4220,207
2023-08-09,Corn,1890,124
2023-08-10,Wheat,2550,156
2023-09-01,Wheat,2700,170
2023-09-02,Wheat,2720,172
2023-09-03,Rice,4400,225
2023-09-04,Rice,4380,223
2023-09-05,Corn,2000,140
2023-09-06,Corn,2020,142
2023-09-07,Wheat,2730,174
2023-09-08,Rice,4420,227
2023-09-09,Corn,2030,144
2023-09-10,Wheat,2750,176
2023-10-01,Wheat,2800,180
2023-10-02,Wheat,2820,182
2023-10-03,Rice,4500,240
2023-10-04,Rice,4480,238
2023-10-05,Corn,2100,150
2023-10-06,Corn,2120,152
2023-10-07,Wheat,2830,184
2023-10-08,Rice,4520,242
2023-10-09,Corn,2130,154
2023-10-10,Wheat,2850,186
2023-11-01,Wheat,2900,190
2023-11-02,Wheat,2920,192
2023-11-03,Rice,4600,250
2023-11-04,Rice,4580,248
2023-11-05,Corn,2200,160
2023-11-06,Corn,2220,162
2023-11-07,Wheat,2930,194
2023-11-08,Rice,4620,252
2023-11-09,Corn,2230,164
2023-11-10,Wheat,2950,196
2023-12-01,Wheat,2850,185
2023-12-02,Wheat,2870,187
2023-12-03,Rice,4450,235
2023-12-04,Rice,4430,233
2023-12-05,Corn,2050,145
2023-12-06,Corn,2070,147
2023-12-07,Wheat,2880,189
2023-12-08,Rice,4470,237
2023-12-09,Corn,2090,149
2023-12-10,Wheat,2900,191
